プロジェクトID,工程表ID,工程表の期間,工程表の最終更新日,最終更新ユーザーID,最終更新ユーザー名,工程表の最終更新バージョン
PRJ-0001,SCH-0001,2026/09/01-2026/11/30,2026-08-28T10:24:11+09:00,U-0001,監督 太郎,12
工程ID,工程線名,工程線の形状,工程線の矢印,実線・点線,工程線の太さ,工程線の色,工程線の背景色,工程線の斜行,項目ID（開始日ノード）,項目名（開始日ノード）,開始日の行番号,開始日,開始日ノード形状,開始日ノードの依存タスク（行程ID、依存関係）,開始日ノードの関係線名,項目ID（終了日ノード）,項目名（終了日ノード）,終了日の行番号,終了日,終了日ノード形状,終了日ノードの依存タスク（行程ID、依存関係）,終了日ノードの関係線名,項目ID（中間ノード）,中間ノード日付,延べ日数,日数,休日,調整日数,0.5日,工程削除,詳細工程1の名称,詳細工程1の協力会社,詳細工程1の人数,詳細工程1の台数,詳細工程1の開始日,詳細工程1の終了日,詳細工程1の延べ日数,詳細工程1の日数,詳細工程1の休日,詳細工程1の色,詳細工程1の背景色,詳細工程1の形状,詳細工程1の矢印,詳細工程1の備考,詳細工程1の表示,詳細工程2の名称,詳細工程2の協力会社,詳細工程2の人数,詳細工程2の台数,詳細工程2の開始日,詳細工程2の終了日,詳細工程2の延べ日数,詳細工程2の日数,詳細工程2の休日,詳細工程2の色,詳細工程2の背景色,詳細工程2の形状,詳細工程2の矢印,詳細工程2の備考,詳細工程2の表示,詳細工程3の名称,詳細工程3の協力会社,詳細工程3の人数,詳細工程3の台数,詳細工程3の開始日,詳細工程3の終了日,詳細工程3の延べ日数,詳細工程3の日数,詳細工程3の休日,詳細工程3の色,詳細工程3の背景色,詳細工程3の形状,詳細工程3の矢印,詳細工程3の備考,詳細工程3の表示,詳細工程4の名称,詳細工程4の協力会社,詳細工程4の人数,詳細工程4の台数,詳細工程4の開始日,詳細工程4の終了日,詳細工程4の延べ日数,詳細工程4の日数,詳細工程4の休日,詳細工程4の色,詳細工程4の背景色,詳細工程4の形状,詳細工程4の矢印,詳細工程4の備考,詳細工程4の表示,詳細工程5の名称,詳細工程5の協力会社,詳細工程5の人数,詳細工程5の台数,詳細工程5の開始日,詳細工程5の終了日,詳細工程5の延べ日数,詳細工程5の日数,詳細工程5の休日,詳細工程5の色,詳細工程5の背景色,詳細工程5の形状,詳細工程5の矢印,詳細工程5の備考,詳細工程5の表示,詳細工程6の名称,詳細工程6の協力会社,詳細工程6の人数,詳細工程6の台数,詳細工程6の開始日,詳細工程6の終了日,詳細工程6の延べ日数,詳細工程6の日数,詳細工程6の休日,詳細工程6の色,詳細工程6の背景色,詳細工程6の形状,詳細工程6の矢印,詳細工程6の備考,詳細工程6の表示,備考,作成日時,更新日時
P0001,"[{""id"":""L0001"",""name"":""A1"",""nameAlignment"":""center"",""nameBold"":"""",""nameColor"":"""",""namePosition"":""top"",""namePositionCoefficient"":""0"",""namePositionWithinOptions"":"""",""nameWritingMode"":""horizontal-tb"",""showContentsDaysWithLineBreak"":""false"",""showLeaderLine"":""false"",""showNameOnLine"":""true"",""showTotalDays"":""false"",""showWorkingDays"":""false"",""textSize"":""L""}]",yElbow,arrow,,,#1f77b4,,,nA0,項目9,9,2026-09-01T00:00:00+09:00,,,関係１,nA1,項目7,7,2026-09-08T23:59:59+09:00,,,,,,8,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0002,"[{""id"":""L0002"",""name"":""A2"",""nameAlignment"":""center"",""nameBold"":"""",""nameColor"":"""",""namePosition"":""top"",""namePositionCoefficient"":""0"",""namePositionWithinOptions"":"""",""nameWritingMode"":""horizontal-tb"",""showContentsDaysWithLineBreak"":""false"",""showLeaderLine"":""false"",""showNameOnLine"":""true"",""showTotalDays"":""false"",""showWorkingDays"":""false"",""textSize"":""M""}]",yElbow,arrow,,,#1f77b4,,,nA1,項目7,7,2026-09-09T00:00:00+09:00,,,,nA2,項目5,5,2026-09-17T23:59:59+09:00,,,,,,9,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0003,"[{""id"":""L0003"",""name"":""A3"",""nameAlignment"":""center"",""nameBold"":"""",""nameColor"":"""",""namePosition"":""top"",""namePositionCoefficient"":""0"",""namePositionWithinOptions"":"""",""nameWritingMode"":""horizontal-tb"",""showContentsDaysWithLineBreak"":""false"",""showLeaderLine"":""false"",""showNameOnLine"":""true"",""showTotalDays"":""false"",""showWorkingDays"":""false"",""textSize"":""M""}]",yElbow,arrow,,,#1f77b4,,,nA2,項目5,5,2026-09-18T00:00:00+09:00,,"[{""id"":""P0002"",""dependency"":""FS""}]",,nA3,項目6,6,2026-09-25T23:59:59+09:00,,,,,,8,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0004,"[{""id"":""L0004"",""name"":""B1"",""nameAlignment"":""center"",""nameBold"":"""",""nameColor"":"""",""namePosition"":""top"",""namePositionCoefficient"":""0"",""namePositionWithinOptions"":"""",""nameWritingMode"":""horizontal-tb"",""showContentsDaysWithLineBreak"":""false"",""showLeaderLine"":""false"",""showNameOnLine"":""true"",""showTotalDays"":""false"",""showWorkingDays"":""false"",""textSize"":""M""}]",xElbow,arrow,,,#d62728,,,nB0,項目13,13,2026-09-02T00:00:00+09:00,,,関係１,nB1,項目11,11,2026-09-10T23:59:59+09:00,,,,,,9,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0005,"[{""id"":""L0005"",""name"":""B2"",""nameAlignment"":""center"",""nameBold"":"""",""nameColor"":"""",""namePosition"":""top"",""namePositionCoefficient"":""0"",""namePositionWithinOptions"":"""",""nameWritingMode"":""horizontal-tb"",""showContentsDaysWithLineBreak"":""false"",""showLeaderLine"":""false"",""showNameOnLine"":""true"",""showTotalDays"":""false"",""showWorkingDays"":""false"",""textSize"":""M""}]",xElbow,arrow,,,#d62728,,true,nB1,項目11,11,2026-09-11T00:00:00+09:00,,,,nB2,項目15,15,2026-09-21T23:59:59+09:00,,,,,,11,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0006,"[{""id"":""L0006"",""name"":""B3"",""nameAlignment"":""center"",""nameBold"":"""",""nameColor"":"""",""namePosition"":""top"",""namePositionCoefficient"":""0"",""namePositionWithinOptions"":"""",""nameWritingMode"":""horizontal-tb"",""showContentsDaysWithLineBreak"":""false"",""showLeaderLine"":""false"",""showNameOnLine"":""true"",""showTotalDays"":""false"",""showWorkingDays"":""false"",""textSize"":""M""}]",xElbow,arrow,,,#d62728,,,nB2,項目15,15,2026-09-22T00:00:00+09:00,,,,nB3,項目12,12,2026-10-02T23:59:59+09:00,,,,,,11,9,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0007,"[{""id"":""L0007"",""name"":""C1"",""nameAlignment"":""center"",""nameBold"":"""",""nameColor"":"""",""namePosition"":""top"",""namePositionCoefficient"":""0"",""namePositionWithinOptions"":"""",""nameWritingMode"":""horizontal-tb"",""showContentsDaysWithLineBreak"":""false"",""showLeaderLine"":""false"",""showNameOnLine"":""true"",""showTotalDays"":""false"",""showWorkingDays"":""false"",""textSize"":""M""}]",crank,arrow,,2.5,#2ca02c,,,nC0,項目21,21,2026-09-03T00:00:00+09:00,,,,nC1,項目17,17,2026-09-16T23:59:59+09:00,,,,nC9,2026-09-09T00:00:00+09:00,14,10,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0008,"[{""id"":""L0008"",""name"":""C2"",""nameAlignment"":""center"",""nameBold"":"""",""nameColor"":"""",""namePosition"":""top"",""namePositionCoefficient"":""0"",""namePositionWithinOptions"":"""",""nameWritingMode"":""horizontal-tb"",""showContentsDaysWithLineBreak"":""false"",""showLeaderLine"":""false"",""showNameOnLine"":""true"",""showTotalDays"":""false"",""showWorkingDays"":""false"",""textSize"":""M""}]",crank,arrow,,,#2ca02c,,,nC1,項目17,17,2026-09-17T00:00:00+09:00,,,,nC2,項目23,23,2026-09-29T23:59:59+09:00,,,,nC8,2026-09-23T00:00:00+09:00,13,9,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0009,"[{""id"":""L0009"",""name"":""C3"",""nameAlignment"":""center"",""nameBold"":"""",""nameColor"":"""",""namePosition"":""top"",""namePositionCoefficient"":""0"",""namePositionWithinOptions"":"""",""nameWritingMode"":""horizontal-tb"",""showContentsDaysWithLineBreak"":""false"",""showLeaderLine"":""false"",""showNameOnLine"":""true"",""showTotalDays"":""false"",""showWorkingDays"":""false"",""textSize"":""M""}]",crank,none,,,#2ca02c,,true,nC2,項目23,23,2026-09-30T00:00:00+09:00,,,,nC3,項目19,19,2026-10-08T23:59:59+09:00,,,,,,9,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0010,"[{""id"":""L0010"",""name"":""D1"",""nameAlignment"":""center"",""nameBold"":"""",""nameColor"":"""",""namePosition"":""top"",""namePositionCoefficient"":""0"",""namePositionWithinOptions"":"""",""nameWritingMode"":""horizontal-tb"",""showContentsDaysWithLineBreak"":""false"",""showLeaderLine"":""false"",""showNameOnLine"":""true"",""showTotalDays"":""false"",""showWorkingDays"":""false"",""textSize"":""M""}]",gate,arrow,,,#9467bd,,,nD0,項目27,27,2026-09-01T00:00:00+09:00,,,,nD1,項目25,25,2026-09-07T23:59:59+09:00,,,,nD9,2026-09-04T00:00:00+09:00,7,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
