プロジェクトID,工程表ID,工程表の期間,工程表の最終更新日,最終更新ユーザーID,最終更新ユーザー名,工程表の最終更新バージョン
9fb97946-5049-5093-b674-09937561e9f1,1342d36a-a999-5315-ab78-e6cbbf9a981f,2026/09/01-2026/11/30,1788849172,sc000u096697,尾園 正樹,2.0.4.2
項目ID（開始日ノード）,項目名（開始日ノード）,項目に紐づく属性情報区分（エリア・協力会社・工種）,項目に紐づく属性情報ID,項目に紐づく属性情報名,項目ID（終了日ノード）,項目名（終了日ノード）,工程ID,工程削除,工程線名,開始日の行番号,終了日の行番号,開始日,終了日,0.5日,延べ日数,日数,調整日数,休日,開始日ノード色,開始日ノード大きさ,開始日ノード形状,終了日ノード色,終了日ノード大きさ,終了日ノード形状,詳細工程1　詳細工程名,詳細工程1　実働日数,詳細工程1　数量　数値,詳細工程1　数量　単位ID,詳細工程1　数量　単位名,詳細工程1　歩掛　数値,詳細工程1　歩掛　単位ID,詳細工程1　歩掛　単位名,詳細工程1　人数/台数　数値,詳細工程1　人数/台数　単位ID,詳細工程1　人数/台数　単位名,詳細工程1　計算結果の不整合を了承フラグ,詳細工程1　協力会社,詳細工程2　詳細工程名,詳細工程2　実働日数,詳細工程2　数量　数値,詳細工程2　数量　単位ID,詳細工程2　数量　単位名,詳細工程2　歩掛　数値,詳細工程2　歩掛　単位ID,詳細工程2　歩掛　単位名,詳細工程2　人数/台数　数値,詳細工程2　人数/台数　単位ID,詳細工程2　人数/台数　単位名,詳細工程2　計算結果の不整合を了承フラグ,詳細工程2　協力会社,詳細工程3　詳細工程名,詳細工程3　実働日数,詳細工程3　数量　数値,詳細工程3　数量　単位ID,詳細工程3　数量　単位名,詳細工程3　歩掛　数値,詳細工程3　歩掛　単位ID,詳細工程3　歩掛　単位名,詳細工程3　人数/台数　数値,詳細工程3　人数/台数　単位ID,詳細工程3　人数/台数　単位名,詳細工程3　計算結果の不整合を了承フラグ,詳細工程3　協力会社,詳細工程4　詳細工程名,詳細工程4　実働日数,詳細工程4　数量　数値,詳細工程4　数量　単位ID,詳細工程4　数量　単位名,詳細工程4　歩掛　数値,詳細工程4　歩掛　単位ID,詳細工程4　歩掛　単位名,詳細工程4　人数/台数　数値,詳細工程4　人数/台数　単位ID,詳細工程4　人数/台数　単位名,詳細工程4　計算結果の不整合を了承フラグ,詳細工程4　協力会社,詳細工程5　詳細工程名,詳細工程5　実働日数,詳細工程5　数量　数値,詳細工程5　数量　単位ID,詳細工程5　数量　単位名,詳細工程5　歩掛　数値,詳細工程5　歩掛　単位ID,詳細工程5　歩掛　単位名,詳細工程5　人数/台数　数値,詳細工程5　人数/台数　単位ID,詳細工程5　人数/台数　単位名,詳細工程5　計算結果の不整合を了承フラグ,詳細工程5　協力会社,詳細工程6　詳細工程名,詳細工程6　実働日数,詳細工程6　数量　数値,詳細工程6　数量　単位ID,詳細工程6　数量　単位名,詳細工程6　歩掛　数値,詳細工程6　歩掛　単位ID,詳細工程6　歩掛　単位名,詳細工程6　人数/台数　数値,詳細工程6　人数/台数　単位ID,詳細工程6　人数/台数　単位名,詳細工程6　計算結果の不整合を了承フラグ,詳細工程6　協力会社,工種,エリア,開始日ノードの依存タスク（行程ID、依存関係）,終了日ノードの依存タスク（行程ID、依存関係）,開始日ノードの関係線ID,開始日ノードの関係線名,終了日ノードの関係線ID,終了日ノードの関係線名,工程線の形状,工程線の矢印,実線・点線,工程線の太さ,工程線の色,工程線の背景色,工程線の斜行,タグ,項目ID（中間ノード）,中間ノード日付,中間ノード色,中間ノード大きさ,中間ノード形状
aqj3sg05mc7iiutye30d3hxz,A1,,,,ajbni5lredw97ufu3sr8kiak,A2,nsrz7bcx8yxxrv8k3qc4i6mk,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""A2"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""ys511avz6yryc19qh2f3dbvs"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",8,5,2026-09-15T00:00:00+09:00,2026-09-18T23:59:59+09:00,,4,4,0,0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""id"":""u1plk0lkn7gwl6gi62j8ny0n"",""dependency"":""SF""}]","[{""id"":""rf5s48r5wvaqo8w3u2mc2ie0"",""dependency"":""FS""}]",,,,,yElbow,arrow,,,#ec635e,,,,,,,,
ffjiiigzaqdu25j9hlifdtgs,D1,,,,ffjiiigzaqdu25j9hlifdtgs,D1,dk8trfwvr4zzrgf6eph3zp81,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""D1"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""p62g4y0h4d5u65tbge3zpfk9"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",25,25,2026-09-07T00:00:00+09:00,2026-09-18T23:59:59+09:00,,12,10,0,2,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""id"":""kxns99694trihve026c89fzq"",""dependency"":""FS""}]",,,"sxfolw27hcihztf0j6w4sslv","関係１",gate,arrow,,,#f9df70,,,,ffjiiigzaqdu25j9hlifdtgs,2026-09-19T00:00:00+09:00,,,
srvk6usha5wo991k2o4zokn7,,,,,srvk6usha5wo991k2o4zokn7,,oto4dg5opkvf736ru8taatv6,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""E1"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""uxy8s1ya3ze5k4ah5pscbezn"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",31,31,2026-09-07T00:00:00+09:00,2026-09-11T23:59:59+09:00,,5,5,0,0,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""id"":""syrtgn50pfeh2x56y8pycl0i"",""dependency"":""FS""}]",,,,,straight,arrow,,,#8455f6,,,,,,,,
srvk6usha5wo991k2o4zokn7,,,,,klutp37wp392t5s5ygqqb7kj,,syrtgn50pfeh2x56y8pycl0i,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""E2"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""t9zma066m1t25a5srqvsqexa"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",31,33,2026-09-12T00:00:00+09:00,2026-09-15T23:59:59+09:00,,4,2,0,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""id"":""oto4dg5opkvf736ru8taatv6"",""dependency"":""SF""}]","[{""id"":""s1u0md6momgam2gd5wvdn4ys"",""dependency"":""FS""}]",,,,,straight,arrow,,,#8455f6,,,,,,,,
klutp37wp392t5s5ygqqb7kj,,,,,srvk6usha5wo991k2o4zokn7,,s1u0md6momgam2gd5wvdn4ys,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""E3"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""ry2b2n7vnlgtlk4fngpa3a4a"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",33,31,2026-09-16T00:00:00+09:00,2026-09-18T23:59:59+09:00,,3,3,0,0,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""id"":""syrtgn50pfeh2x56y8pycl0i"",""dependency"":""SF""}]",,,,,,straight,arrow,,,#8455f6,,,,,,,,
ne63mp2hoo3j1mu8t1zy89tz,バー２,,,,ne63mp2hoo3j1mu8t1zy89tz,バー２,bjwmumxcko7gc9z8xszbmeg1,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""boxNameMiddleCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""バー２"",""namePositionCoefficient"":{""x"":0,""y"":0},""namePosition"":{""x"":0,""y"":0},""id"":""g90xagz2hh67etf18sqja0a2"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",38,38,2026-09-12T00:00:00+09:00,2026-09-18T23:59:59+09:00,,7,5,0,2,,,none,,,none,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boxM,arrow,,,#ed70c0,,,,,,,,
qrsbsg2jjur29e804qkpcclj,バー③,,,,qrsbsg2jjur29e804qkpcclj,バー③,d8gth038ou5z9sdqsws41f4a,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""boxNameLowerLeft"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""バー３"",""namePositionCoefficient"":{""x"":0,""y"":0},""namePosition"":{""x"":0,""y"":0},""id"":""kmnh0335ft4wckyo7pn7tggz"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",40,40,2026-09-19T00:00:00+09:00,2026-09-24T23:59:59+09:00,,6,1,0,5,,,none,,,none,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boxL,arrow,,,,,,,,,,,
u3dwtiewq8zss7p8o1jrpvsx,バー４,,,,u3dwtiewq8zss7p8o1jrpvsx,バー４,wrrlfamddutxks0rs546w6hp,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""barNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""バー４"",""namePositionCoefficient"":{""x"":0,""y"":0},""namePosition"":{""x"":0,""y"":0},""id"":""gmnf5cs1g3q9r0ytmd00ktka"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",42,42,2026-09-25T00:00:00+09:00,2026-09-29T23:59:59+09:00,,5,3,0,2,,,none,,,none,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,barAutoAdjust,arrow,,,#eb473d,#eb473d,,,,,,,
hhgon9nzu9v5u9pgsy5u7x8p,バー５,,,,hhgon9nzu9v5u9pgsy5u7x8p,バー５,xrtojb94udpfhnqjb10fxoyb,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""barNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""バー５"",""namePositionCoefficient"":{""x"":0,""y"":0},""namePosition"":{""x"":0,""y"":0},""id"":""nv4taqq6xz0ikjikvwk71e7s"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",43,43,2026-09-30T00:00:00+09:00,2026-10-05T23:59:59+09:00,,6,4,0,2,,,none,,,none,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,barAutoAdjust,arrow,,,#eb473d,#5970f6,,,,,,,
ey2fto4pv67kaoh85p121vwm,,,,,ey2fto4pv67kaoh85p121vwm,,wdhh8gl3bekvzls3uwrp9zh9,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""barNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""バー６"",""namePositionCoefficient"":{""x"":0,""y"":0},""namePosition"":{""x"":0,""y"":0},""id"":""nyumlza1p3xhzwv8oisz75zk"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",46,46,2026-10-06T00:00:00+09:00,2026-10-08T23:59:59+09:00,,3,3,0,0,,,none,,,none,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,barProcessNameAdjust,arrow,,,#f9df70,#f9df70,,,,,,,
